object_0	object_1	answer	labels
soda	chocolate	__________________ When the grape soda and chocolate donuts are gone, then you better get out of my way.	0
Nokia	Samsung	If you say that Nokia couldn't compete with Samsung using Android, how could they possibly compete using an inferior OS?	0
Integer	Floating-point	The obvious solution to perform     Integer- and Floating-point arithmetic in parallel will of course     always be inferior.	0
Toyota	BMW	Toyota continues to dominate the market with an excellent 21.2% share this month thanks to 884 sales, ahead of BMW very solid at 631 units and 15.1% vs. 13% year-to-date, Mercedes with 510 sales and 12.2% and Volkswagen at 456 units and 10.9% vs. 9.1% year-to-date.	2
california	michigan	This truck spent half it's life in california, so the body is better than most michigan Ramchargers.	2
Python	Ruby	Sure, C# is a lot nicer than C, but Python & Ruby are a lot nicer than C#.	0
phone	ipod	and playing on a phone would still be easier/more fun than on an ipod	2
Buick	Cadillac	The 1979-1985 E-bodys had presence and as long as you got the Oldsmobile or Buick over the 4100V8 Cadillac you got a decent engine too.	2
Python	JavaScript	Software skills: has superior technical skills in one or more software and coding programs, to include Python and JavaScript	0
Chrysler	Toyota	The Taurus' new 2.0-liter EcoBoost® four-cylinder engine is certified at 32 mpg highway - better than the 2012 Chrysler 300, Chevrolet Impala, Dodge Charger and Toyota Avalon.	0
volleyball	tennis	volleyball or tennis?	0
IBM	Microsoft	IBM connects to existing Microsoft SharePoint repositories to better manage content and mitigate compliance risk across the enterprise.	0
Apple	Google	Again, Facebook is growing faster than Apple and Google.	0
concrete	plastic	paper resin counters, concrete and recycled plastic are a great green alternatives to a solid surface countertop.	0
Honda	BMW	I know other diesels (Honda Accord, BMW 3-series, VW Passat TDI PS that my mates drive) achieve lower consumption providing equivalent (or better) performance.	0
Oracle	MySQL	Oracle Releases MySQL 5.5.18	0
Microsoft	Dell	"Downloading the media yourself, installing, and then using the ""phone Microsoft to activate"" option might be faster than waiting for the media from Dell."	2
Intel	Kingston	MoBo: Asus Rampage Formula GPU: BFG GTX280OC CPU: Intel Q6600 RAM: Kingston KVR800 - 2GB CPU cooler/crossbow: Zalman HDD: WD caviar black 640 WD caviar 320 (IDE) PSU: PC Power & Cooling silencer 750 Case: Lian Li PC-A17	0
Mercedes-Benz	Audi	Staffers agree that the Mercedes-Benz CLS and Audi A7 feel more solid and agile while offering similarly decked-out interiors, and the A7 even features a handy rear hatchback.	0
Swift	Objective-C	Take Swift vs Objective-C.	0
MySQL	Oracle	and MySQL but not Oracle?	0
PostgreSQL	Oracle	The graphical DB control clients available for PostgreSQL are significantly better than those available for Oracle (Toad), which cost $1K.	2
Java	Perl	Id prefer that we stick to conventional controversial subjects like which editor/os is better and why Java really is better than Perl.	2
Groovy	Java	Applying a little Groovy in the right place can make better Java Development.	0
ps3	psp	( FTL: Faster Than Light , Next-Gen , PlayStation , Prison Architect , PS Vita , ps3 , PS4 , psp , Q.U.B.E.	0
Windows 8	Windows 7	I wouldn't be too concerned about using Windows 8, Windows 7 is usually regarded as 'better'.	3
Honda	Nissan	Honda (12.6%) and Nissan (7.1%).	0
golf	tennis	cooler on plateau - golf and tennis resort This is a great getaway in the summer.	0
Windows 8	Windows 7	Windows 8 (MSFT) is being adopted at a slower rate than Vista, and slower than Windows 7, according to usage data from Net Applications.	3
Nissan	Toyota	To me, the Sonata is very close to Nissan, Honda, and Toyota, but with a better warranty.	0
missouri	carolina	The defense looked pretty good against missouri, even better against Vandy, so what happened to that looking pretty good against South carolina?	0
Integer	Floating-point	Integer math will be an approximation of Floating-point math, but you might be able to get a faster answer that is acceptably close.	0
CUDA	OpenCL	Critical bugs in the compiler and in the execution environment and without real intentions of improving it (I understand, they have their propietary solutions, like CUDA, which are better supported) To put something in production that uses OpenCL, the code must be flooded of workarounds.	0
mobile	laptop	The superior design of the HeatShift Pad provides the most mobile and most effective solution to cooling laptop computers.	0
tennis	baseball	I know I'm coming late to the party, but tennis is (in my mind) indisputably harder than baseball.	3
Direct3D	OpenGL	While Direct3D works, OpenGL seems to give better texture quality and smoother frame rate in CS1.6.	3
PHP	Python	So somehow, PHP and Python were supposed to make C or what ever programming language easier to use?	0
missouri	georgia	Worse, the GOP is going to have to fight to keep missouri, Montana, and even georgia.	0
steak	bread	Since I was a kid, I have put ketchup on fries, burgers, steak, chicken, eggs, white fish, or even better fish sticks!, and plain bread.	0
michigan	pennsylvania	If the key 2014 battlegrounds were in, say, michigan and Ohio and pennsylvania, they'd be in better shape.	0
california	carolina	The Better Business Bureau in the states of: Arizona, california, Florida, Georgia, Nevada, South carolina, Texas and many other states.	0
Python	Perl	Your much safer using something like C, Python, Perl or my favorite ScriptBasic.	0
Motorola	Nokia	Other disappointments: Yahoo, Motorola, Nokia, WaMu.	0
Java	PHP	"We wanted something more lightweight and faster to develop in than Java, and Rails sounded like more fun than PHP,"" Williams said."	2
Amazon	Apple	Amazon Video On-Demand offers everything you could find through Apple TV's store and then some, but it has a superior pricing model.	0
OpenGL	Direct3D	Valve recently found that the OpenGL version of the Source Engine running on Ubuntu ran significantly faster than the Direct3D version running on Windows.	2
Asus	Gigabyte	I love Asus and Gigabyte.	0
plywood	lumber	plywood doesn't need to breath like lumber so leaving raw will only make it rot faster.	0
soda	chocolate	Almost any solid abject around you would fit this description - an aluminum soda can, a candle or a piece of chocolate all have freezing points above 0°C.	0
Haskell	Python	In the same ballpark are Haskell (and maybe in the future Python) iff their compilers generate better structures because the task is better formally defined.	0
AWK	Sed	This involved a bit of dicking around with AWK and then Sed before I finally gave up and realized I could do it faster with tr .	0
Objective-C	Swift	Let's talk about Objective-C / Swift impedance	0
oregon	california	The oregon Parks were a bit nicer but I liked the california Coast more.	2
MySQL	PostgreSQL	MySQL works better on Windows than PostgreSQL does.	2
MSI	Nvidia	Silent Base 800 SchwarzMainboard MSI Z97 Gaming 5Prozessor Intel Core i5 4690K (@ bis zu 4x 4.40GHz)Nvidia GeForce GTX 950 2GB16GB DDR3-1600 RAM2000GB SATA-III SSHD250GB SSD(Solid St...	0
Cadillac	Buick	Cadillac will be able to command a higher price than Buick would be able to, thus helping to pay off development costs of teh Voltec and allow GM to lower the prices for this technology faster.	2
Sony	Microsoft	As for Sony and Microsoft, it seems as if every year, each companies systems get better.	0
Google	Apple	Google Maps works better than Apple Maps in my area .	2
coffee	beer	A cooler with cold drinks (including cola, coffee [like Starbucks DoubleShot], and maybe even beer)	0
lumber	timber	lumber business has increased in price and even better demands for timber lands.	0
georgia	virginia	On the other hand, overall turnout grew at a slower pace in georgia than virginia or North Carolina after adjusting for population growth.	3
Eclipse	NetBeans	IBM RAD, Eclipse 3.6, 3.7, NetBeans 7.0	0
soup	pizza	I found if you let it cool for about 10 minutes, the pink teese soup turns into a decent edible pizza cheese, thus ultimately warranting a 3 out of 5 (see note below)	0
Mercedes-Benz	Audi	For example, if I were in a position to choose between an Alpha Romeo and a Mercedes-Benz, BMW, Audi, or Porche version of that product, that Italian variant had better offer A LOT more value and much better price for me to even consider it.	0
google	facebook	Crapware, huh? google + is vastly superior to facebook?	2
AMD	Samsung	Motherboard: Biostar TA75A+ Processor: AMD A8-3850 Memory: Corsair XMS3 4GB PSU: Cooler master RS600 SSD: Crucial 64GB C300 HD: Caviar Green WD2000EARS Blu Ray: Samsung Black SH-B123L Case: Lian Li PC-C37B	0
Toyota	Honda	Think Toyota vs Honda.	0
Intel	Google	It has Dual Core Intel Celeron Processor with 100 GB Google Drive Storage with 16 GB Solid State Drive.	0
Nokia	Samsung	Nokia is just one of many Windows 8 phones, and not even the best because Samsung is far better!	3
mit	stanford	I don't know about engineering, but I'd be surprised if IIT produces better entrepreneurs than mit and stanford.	0
juice	coffee	Only decent thing was the juice and filter coffee.	0
Honda	Nissan	Honda, Nissan and Toyota are equally guilty.	0
Advil	Motrin	IMO this is the time for Ibuprofen (Advil, Motrin, etc.).	0
Java	PHP	Use our Java, Ruby and PHP sample code to make it even easier for you to start working with OnlineMQ.	0
PHP	Perl	Like every other decent web hosting provider, CoolHandle also supports FrontPage, PHP 5, Perl, Ruby On Rails, Python, C/C++, Python and even CGI.	0
ps2	ps3	( Metal Gear Solid 3: Snake Eater , ps2 , ps3 , Xbox 360 )	0
virginia	california	I'll start in virginia and end in california but am happy to be flexible if anyone's got any better ideas ...	0
Dell	Microsoft	One you match a better product with the power of so many manufacturers pushing (HP, Toshiba, Asus, Dell, Sony, etc) it's a mathematical certainty that Microsoft will dominate once again.	3
beer	soda	FAKE GUN - beer & soda bottle can drink COOLER sleeve wrap holder: $9	0
Apple	Microsoft	Apple: Worse for open source than Microsoft?	3
Java	Objective-C	Using the Phonegap plugins to avoid it will only go so far before the cost being so high you'll better be programming in Java or Objective-C anyway.	0
softball	baseball	1) Is softball or baseball the better game?	0
Asus	Gigabyte	Some good brands include Asus and Gigabyte.	0
Swift	Objective-C	Swift vs. Objective-C: A Look at iOS Programming Languages	0
Java	Python	I'm a better Java programmer today because of what I've learned from Python.	0
stone	concrete	Natural stone pool coping has a superior advantage over pre-cast concrete and tile.	2
mobile	laptop	Spotify has a decent mobile application that quickly updated itself every time I added a new playlist on my laptop.	0
iOS	Apple TV	"- Compatibility with iOS 6, - Support for iPad mini, - Better support for ""Airplay Mirroring"" TV-Out (through Apple TV 2nd and 3rd generation), - Addition of ""Kid"", ""Numbers"", ""Cyrillic"" and ""Snellen"" optotypes, - Addition of an aspect-ratio calibration step in the geometry calibration panel, - One line improvement in displayable acuity range (e.g."	0
halloween	thanksgiving	My favorite season... a season of leaves changing colors, cooler temperatures, pumpkins, corn mazes, football, halloween, thanksgiving, my birthday...	0
Google	Amazon	If public libraries can't be better than Google or Amazon at something, then libraries will lose their relevance.	0
football	golf	"My main sport was football, but I was determined to get better at golf,"" Norwood says."	3
NetBeans	Eclipse	NetBeans and Eclipse offer more comfortable controls.	0
Eclipse	NetBeans	Java in Eclipse or NetBeans.	0
Ruby	Python	Ruby is 1.7 times slower than Perl, TCL is 3.3 times slower, and Python is 8.2 times slower!	2
Windows 8	Windows 7	Then again, without the Modern UI, Windows 8 doesn't offer many advantages, aside from faster performance, over Windows 7.	3
Gigabyte	Asus	Ive been told Gigabyte of Asus.	0
Advil	Motrin	Common Brands: Advil, Motrin	0
baseball	softball	Schutt 2966 Molded Color baseball or softball Catcher's Helmet Better looks, better performance and better protection.	0
ds	wii	First off I will say I love the ds version better than the wii version.	2
Windows XP	Windows Vista	This script is for Windows XP SP1 (or better) & Windows Vista.	0
Ruby	Python	Even assuming Ruby is better than Python, it doesn't matter.	2
BMW	Toyota	If you go with the BMW X6, you'll have a much easier time finding a large enough space to park than you will with the Toyota Sequoia.	2
AWK	Perl	It works passably on Ruby, PHP, VB, and AWK and a decent subset of Perl and Ruby, but, because of commenting conventions, doesn't work on Smalltalk, or CAML-like languages.	0
Groovy	Java	If you elect to use Groovy in an application, you'll have an easier time integrating with Java in the JVM, but you'll have less resources available (books, blogs, community).	0
Groovy	Java	Like these languages, Groovy is much easier to use and has a simpler syntax than Java.	2
georgia	missouri	I would love to have the atmosphere rival the georgia Tech game or even better the last missouri game.	0
Ruby	Java	- Ruby, Python, PHP, Java: clients updated	0
Intel	Kingston	Cooler Master CM 690 II Asrock P67 Extreme4 Intel Core i5 2500K Boxed Sapphire HD6950 Dirt3 Edition (2GB) Samsung Spinpoint F3 HD103SJ, 1TB Crucial m4 CT064M4SSD2 64GB Kingston HyperX KHX1600C9D3K2/8G Scythe Mugen 2 Rev. B	0
Intel	Apple	Intel, Lucent Technologies, and Apple Computer, for instance, have all announced rock-solid first-quarter results.	0
concrete	plastic	Perform your service activities on concrete or asphalt or over a plastic tarp to make spill clean-up easier.	0
Honda	Toyota	That's Honda and Toyota.	0
Asus	Gigabyte	(Asus and Gigabyte bios suck)	0
Objective-C	Swift	Objective-C, Swift, Design patterns & OOD) to join their team.	0
laptop	iphone	95% of the the things I do with my laptop on the road will be accomplished far easier and faster with the iphone.	3
missouri	carolina	In places like Virginia, Colorado, Ohio, missouri, North carolina, and Florida he will need to actually be a much better President and politician as he has hitherto been.	0
BMW	Honda	How can anyone think based on the BMW and Honda today that those cars look better than the '08 ones.	0
Python	Perl	In that regard we judged Python to be far superior to Perl.	2
Intel	Kingston	cpu Intel core 2 duo e6850 4 cache 3GB Ram DDR2 Kingston 2x2 GB Main Gigabyte ep43 ES3G HDD SAMSUNG ATA 160 GB VGA HIS 5770 1GB PSU cooler master elite 460w Window XP SP3 32 bit	0
BMW	Toyota	"Rather than take a sporty approach, and build a true rear-wheel drive competitor to the BMW 3-Series and Mercedes-Benz 190E sedans, Lexus took a much softer and safer route, basing their entry-level ES, or ""Executive Sedan,"" on the very un-sporty front-wheel drive Toyota Camry."	2
pizza	bread	But pizza dough is a lot easier and much more forgiving than bread making, I think.	2
Apple	Intel	Apple, eBay, Intel, and a handful of banks are just a sampling of the companies reporting better-than-expected earnings.	0
Oracle	MySQL	CodeCollaborator - Oracle, SqlSever, Maria/MySQL	0
Ford	Chrysler	Ford, Chrysler each announce large recalls	0
Java	Python	The SBCL implementation of Lisp is on par with Java 6 Server and is significantly faster than Ruby or Python.	2
IBM	Intel	But this week PC Magazine columnist John Dvorak speculates that the company could be about to make a switch itself, from Motorola/IBM chips to faster Intel ones.	3
NetBeans	Eclipse	in WING IDE, NetBeans, Eclipse is fine.	0
IBM	Microsoft	Makes it easier to integrate IBM ECM products into existing installations of Microsoft SharePoint, SAP, and other participating vendors	0
espn	fox	Far better to go w/ a content provider like espn/fox/NBC/CBS/other.	0
stone	concrete	The terrace is mediocre at best; we must stop simultaneously fetishizing old stone and demonizing postwar concrete.	0
Apple	Amazon	And who makes out better in the long run - Apple or Amazon?	0
Windows XP	Windows Vista	Additionally, the Samsung MZ-7PC128B solid state drive is compatible with Windows XP, Windows Vista...	0
OpenGL	Direct3D	And though the OpenGL renderer does not support all effects in the game, we are more interested in simple texturing, which is no worse than in the main Direct3D version.	2
Dell	Intel	The 2740p closely matches the Lenovo ThinkPad X201, with its high quality screen and faster Core i5 and Core i7 processor, and easily surpasses the Dell XT2, which is still based on the older and slower low-voltage Intel Core 2 Duo processors.	0
tennis	volleyball	Tag Archives: tennis volleyball	0
hockey	lacrosse	Her competitive spirit persevered despite her injuries, and the former collegiate field hockey and lacrosse player spent the better part of her adult life proving doubters wrong.	0
Renault	Nissan	Which car is better: Renault Scala or Nissan Sunny?	0
sausage	sandwich	You will do better with a sausage, egg, and cheese sandwich on an English muffin than a bowl of cereal.	0
missouri	michigan	missouri is much easier, since you just throw them in with Illinois and Northwestern and put them in the michigan pod.	0
PHP	Java	Anyway, I agree that PHP is better (or at least easier to use) than Java for some things.	2
wood	cardboard	They are very nice - with solid wood backs (not the cheap cardboard back type).	2
Sony	Apple	The Samsung Series 5 NP530U4B S03 has a faster processor, more RAM, faster graphics and more storage than the Sony Vaio S and 13-inch Apple MacBook Pro.	0
Hewlett-Packard	Intel	Today, Hewlett-Packard , Boeing and Intel are leading the declines.	0
Swift	Objective-C	He also teaches iOS dev, Swift and Objective-C.	0
michigan	oregon	League members VCU (against michigan) Saint Louis (against oregon) and Butler (against Marquette) all have decent shots of reaching the Sweet 16 on Saturday.	0
PHP	JavaScript	This position requires solid PHP, MySQL, LAMP administration and JavaScript/JQuery skills.	0
juice	milk	This all natural protein powder, mixed with juice or milk, provides superior protein nutrition.	0
bread	potato	The poorer people ate mostly bread made of potato flour.	0
amazon	itunes	Here are all the links to make it EVEN EASIER: amazon Barnes and Noble Kobo itunes	0
Groovy	Java	My back end is Groovy, Java based, and it works for comercial scale better than ROR, imo.	0
Buick	Cadillac	I imagine Buick and Cadillac would be doing better if their former segment of retirees knew what they were buying.	0
Windows 98	Windows XP	Now you will be able to read contents of this website and many other urdu web sites on your computer, if you can not Please get rid of Windows 98,Windows Me and Windows 2000 instead use linux or any version of Windows XP or heigher along with internet explorer 6.0 or above, better choice is firefox.	0
california	georgia	I play in a party of people spread all over the country (california, Texas, georgia, New York, Ohio, Pennsylvania, North Dakota) and it actually seems to play better.	0
ds	ps2	Oh noes, better graphics!!1 Funny how some playstation fanboys say that's what makes it better then ds but then say graphics don't matter when the fact that ps2 has the worse graphics is mentioned.	2
Nissan	Ford	A bit worse, but far closer to them (on the average) than the 2.8 are to Toyonda (Nissan is schizophrenic some bad some good, Ford does stand clear of GM and Chrylerabus a bit on the good side).	0
MSI	Nvidia	"Interestingly enough, during a recent visit to their HQ in Taiwan, MSI told TweakTown that they ""would probably end up adding the world's first powerless air cooler to an Nvidia motherboard."""	0
Buick	Cadillac	Other drawings preview future designs for the center stack of GM's Lambda-based crossovers , better known as the GMC Acadia , Saturn Outlook and Buick Enclave , as well as a new design for its Chevy Malibu and Saturn Aura models and an upcoming SUV from Cadillac .	0
Python	JavaScript	For the internet industry, being able to write solid code in Python, Ruby, C, C++, Java, JavaScript, etc., will go much further---and having coding training is an absolute must.	0
hulu	amazon	I don't use hulu or amazon, so I can't compare those, but this Netflix app has better picture quality than Comcast HD, Dish Network HD (which is inferior to Comcast HD), or AppleTV.	0
Apple	IBM	Indeed, MS's overall competitive position is now worse than Apple, Google, Oracle, and even IBM (which will overtake MS's valuation in the next few days).	0
truck	bus	2013 DOT Year in Review: FMCSA makes solid progress in truck and bus safety	0
Avaya	Huawei	The channels for distribution in the Enterprise segment utilize direct and channel sales, which includes a network of partners, such as Avaya, BT, Cisco, DiData, Genesys, Huawei, MoshiMoshi, NICE, Telstra, and Verint.	0
Perl	Python	In fact other scripting languages like Perl and Python are also faster.	0
Sony	Microsoft	If it's 1080p, and has a decent graphics card, then Sony and Microsoft probably won't improve much on graphics.	0
restaurant	cafe	The main restaurant, Ocean, and the outdoor bar/cafe View32 were just mediocre.	0
Sony	Microsoft	Lets not forget how many times Sony and Microsoft have screwed their customers by releasing inferior and defective products!	0
Nikon	Sigma	For any lens that Canon or Nikon offers, there is a response from Sigma or Tamron that is as good or sometimes better.	3
california	michigan	This is as fast as, or faster than, most UPS deliveries from california to michigan.	0
Honda	Toyota	Honda, Toyota make diesel moves	0
Ferrari	Renault	1. Michael SCHUMACHER (Ferrari), 1h33m46.933s 2. Fernando ALONSO (Renault), 1h33m52.649s	0
Python	Java	Python is actually easier than C and Java which makes it easier for me to teach a student about it.	2
georgia	missouri	Their naturalized North American range is from eastern Canada south to georgia and west to missouri, with a preference for cooler areas.	0
steak	sandwich	My steak sandwich tastes fresh and was enough in itself to provide a solid meal, let alone the additional fries.	0
Intel	IBM	It looks like the risk trade is back on for Wednesday after better than expected earnings from Intel (NASDAQ: INTC ) and IBM .	0
BMW	Honda	As for recalculating route - all you do is make a wrong turn and it is automatic, this is also processed faster in the BMW the Honda.	0
PostgreSQL	MySQL	EnterpriseDB claims PostgreSQL is superior in procedural language support to MySQL.	2
Python	Java	Try learning Python or Java, even C# is easier.	0
Toyota	Nissan	Then to make it worse the products are not as good as Honda, Toyota, Nissan, and Hyundai.	0
Apple	Google	Apple and Google showed a new better.	0
Nike	Adidas	Nike is definitely not my favorite, also Adidas aren't better than Converse either.	0
Renault	Nissan	Please, DV8, will you all enlighten us as to how much money has been invested in Better Place by Deutsch Bank, and how many Better Place compatible EV's will be coming off the Renault-Nissan lines, and when they are plugged in on average 22 hours a day, what that will do for Blees accusation that there is 'no demand for wind when it blows'.	0
Samsung	Nokia	A 15% of the sales of Samsung is better than the full commitment of Nokia.	2
Ruby	Python	DLR-based implementations of Ruby and Python should be better suited to that purpose.	0
Nissan	Toyota	i just need to decide if this would be a better fit personally than a new Nissan, Toyota, etc.	0
Bluetooth	USB	Touch typists are probably better off with a Bluetooth or USB keyboard.	0
pennsylvania	michigan	What's good for the national GOP would be quite bad for Wisconsin, pennsylvania, and michigan, and probably even worse for Republican legislators and governors in those states.	0
Nvidia	MSI	"I know that both Nvidia and AMD disapprove of the distinct lack of ""green"" and ""red"" in the cooler and box designs, but good on MSI for sticking to its own thing."	0
Oracle	MySQL	Oracle MySQL & Database 12C	0
stone	steel	A stone tile backsplash surrounds a polished solid-surface countertop with double-bowl stainless steel sink.	0
AMD	Samsung	Which by the way is: ASUS A8N SLI Premium AMD 3000+ Venice core Zallman 7000 CuAl CPU cooler Gigabyte 6600GT Passive (NX66T128VP) Samsung 250Gb SP2504C NEC ND-3540 Twinmos DDR400 mem 2 x 512Mb	0
Ferrari	Renault	In Ferrari Alonso has found his second home after Renault.	0
cider	beer	Sort of tastes like a mediocre cider with a bit of beer added to it.	0
PostgreSQL	Oracle	Joaquin Quintas : Experienced python/django developer, solid knowledge of CSS/HTML, JS frameworks like JQuery, database systems like Mysql, PostgreSQL, sqlite3, Oracle, Db2.	0
USB	Ethernet	This is easier said than done, as [Jamie] fried a USB hub, FTDI cable and an Arduino Ethernet all at the same time.	0
Windows 8	Windows XP	How can you possibly infer, from this, that the scope includes: I believe everyone knows the same amount about networking as I do; I believe MS networking is easier (rather than more capable/flexible); connecting two machines directly together and considering a full-fledged network; PowerPoint; screen resolutions; Windows 8 sales; and end of life for Windows XP.	0
USB	Bluetooth	These weaknesses can be negated by allowing USB access (host) or to drive via wireless (Bluetooth) to decent keyboard and mice devices.	0
Renault	Nissan	Left: Shimon Peres, former Israeli Prime Minister helping Shai Agassi of Better Place to close a deal with the President of French automaker Renault-Nissan, Carlos Ghosn.	0
Renault	Nissan	I have read the Renault-Infiniti, actually aren't they really Nissan, engine slower than Ferrari and Merc?	0
Sigma	Nikon	The Sigma will probably be BETTER than most wide angle primes, like a 28mm f2.8 Nikon.	2
Direct3D	OpenGL	That's because Direct3D and OpenGL are interfaces to graphics device hardware, while OGRE and Irrlicht are graphics libraries that provide methods to interact with D3D or OGL easier.	0
Amazon	Sony	It's better than B&N (no file table access at all) or Amazon (hard reset every time to update filetable), but still not as simple as Sony.	0
Kingston	Google	You can download the Kingston, Ontario Air Quality Widget on your Android Device directly from the Google app store.	0
Nokia	Samsung	Nokia Asha vs Samsung Rex: What's better?	0
Hewlett-Packard	Intel	Its client roster includes, Coca-Cola, GM, Hewlett-Packard, Intel, L'Oreal, MasterCard, Microsoft and Unilever.	0
Bluetooth	USB	Use of Bluetooth & USB-connected phone is annoying; I think it should have been better-designed.	0
Windows 98	Windows XP	full set of 7 powerful tools built for Windows 98, Windows Me, Windows NT, Windows 2000, Windows XP and 2003 Keep your PC running faster, cleaner, and secure with IE Secure Master?	0
steel	aluminum	"Sean's answer was ""steel is harder than aluminum."""	2
Windows 98	Windows XP	The good part is it provides a generic set of applications that can work across operating system versions and are clearly better than what came with Windows 98; the bad news is they can really screw up Windows XP.	0
Java	Groovy	On the other hand Java is WAY WAY faster than Groovy.	2
Perl	Ruby	Io - Small, embeddable, object-oriented, prototype-based, garbage collected language; faster than Perl, Python, Ruby; supports actors and futures for concurrency.	0
Renault	Ferrari	Renault joins Ferrari in 2010 boycott	0
Python	Lisp	Here you say that you like Python clean syntax, but do you know that Pliant one is as clean but much more flexible (can either look instructions centric or Lisp like), and can even be customized to better match various needs.	0
Honda	Toyota	Honda, Toyota & Tata to follow.	0
OpenGL	Direct3D	Yeah, there's a lot of idiots here who still think OpenGL is better than Direct3D.	3
metal	plywood	The metal is a solid quality, and the real wood isnt cheap plywood, its very good quality.	0
Java	Lisp	Various internal (Java API) changes: Changes to gnu.expr.Interpreter to make it easier to add non-Lisp-like languages; gnu.lists.Consumer now has an endAttribute method that need to be called after each attribute, rather than endAttributes that was called after all of them.	0
Coca-Cola	Pepsi	The Center of Environmental Health's recent testing found that Coca-Cola did a much better job of cleaning up their act than Pepsi.	2
tea	milk	Water cooler with hot and cold, coffee and tea, milk and cream in refrigerator.	0
Ruby	Perl	My goal is to progress into the more powerful languages ( C, C#, C++, Ruby, Perl,) and better understand the ones I know.	0
steak	bread	First nite enjoyed with grilled porterhouse steak, 2nd nite (it tasted even better) with salad, candied carrots and crusty bread!	3
michigan	pennsylvania	Like michigan, pennsylvania is within a point of moving into the safer Obama lean category.	0
USB	Bluetooth	I'd like to see some info on which is better, USB or Bluetooth when it comes to sound quality.	0
georgia	virginia	The only difference between georgia and virginia is that our winters are shorter and milder, and our summers longer and cooler.	0
Ford	Nissan	However, the Ford seems more solid than the Titan, and the feedback from the steering was judged to be more informative than in the Nissan.	2
Groovy	Java	My question may sound naive but what I am trying to ask does object oriented scripting language like RoR and Groovy Grails complement Java j2ee development or provide a superior alternative.	0
Java	Python	On January 20, Java and Python developers got an easier way to tap VMware cloud services.	0
softball	baseball	It's easier in softball to place the ball than in baseball, but that's another discussion altogether.	2
Avaya	Huawei	Vendors tracked include Acme Packet, Alcatel-Lucent, AudioCodes, Avaya , BroadSoft, Dialogic, Cisco, Comverse (NetCentrex), Ericsson, GENBAND, Huawei, Iperia, Italtel, MERA, MetaSwitch, Movius, NextPoint, Nokia Siemens, Nortel, Personeta, RadiSys Convedia, Sonus, Technicolor (Thomson), Tekelec, UTStarcom, Veraz, Verso, Xener, ZTE, and others.	0
google	youtube	Viacom's case against google and youtube looks worse and worse each passing day.	0
Java	Smalltalk	If Java smelled like Smalltalk, Fortress smells like Eiffel.	0
Google	Microsoft	Google is the main player now, Microsoft are just plain inferior in Mobile.	2
kennedy	reagan	"Yet, Americans keep coming to the trough, to lap up the syrupy slogans like: ""We Can Do Better"" (kennedy) ""Are You Better Off Than You Were Four Years Ago?"" (reagan) ""A Safer World and a More Hopeful America"" (G.W. Bush), ""A Stronger America"" (Kerry), ""Yes, We Can"", ""Change We Can Believe In"", ""Forward"" (Obama), and ""Believe in America"" (Romney)."	0
fox	cnn	Far superior in factual evidence compared to fox, MSNBC and cnn.	0
IBM	Google	On the enterprise side, Microsoft should look at way of getting better than IBM, on the consumer side it's got Google and Yahoo to worry about.	0
BMW	Honda	Any engine can come apart and its usually the faster guys that lose an engine,,, list a few cars that rev past 7,000 now,,,BMW/Honda both make power through rpm,anything over head cam(valve train stability)	0
JavaScript	Perl	But I'm not convinced it works in JavaScript any better than it works in Perl.	3
Java	Smalltalk	Evaluate C#, Java, Smalltalk, Lisp, and heck, even Dylan.	0
Apple	IBM	Worse, Apple is functioning EXACTLY as it described the MS/IBM of 1984.	0
Intel	IBM	Why is anyone waiting for Intel anyway, Sun Microsystems, IBM, and HP all have 64-bit systems that are rock-solid and have years of experience to offer.	0
beer	juice	Drinks were served out of the cooler: beer, coke, apple juice, southern Africa style.	0
Google	Intel	Siemens, tied with perennial favorites Google and Red Hat, would have done even better if not for concerns (by contrast to Intel) about quality levels.	0
itunes	amazon	So I think you'll be better off buying it off itunes or amazon.	0
Perl	Ruby	And you're an admitted Perl novice, what if you decide you like Ruby better in 6 months?	0
Nikon	Leica	I don't really need a better digital canon/Nikon/Leica , I need a digital Yashicamat, or a Mamiya press 23.	0
Microsoft	Google	5 Reasons Microsoft SkyDrive is Better Than Google Drive	2
Windows Vista	Windows XP	Too many software installed is one of the many reasons that cause Windows Vista or Windows XP running slower over the time.	0
suv	minivan	1. suv, wagon, or minivan.	0
Nokia	Samsung	Nokia is talking big but all the leaks suggest a inferior phone compared to the Samsung.	3
PHP	Python	"Coming from the PHP ""language"", we have far worse problems than the explicit self required in Python."	3
Bash	Python	Use of continuous integration tools including (Jenkins/Go/Travis CI) Solid understanding of Scripting languages (Shell, Bash, Python) Configuration Management (Puppet/Ansible) Experience of working in DevOps...	0
harvard	mit	With harvard, mit, Tufts.	0
Samsung	Motorola	5. Samsung BlackJack II/Motorola Q9 Global	0
Windows XP	Windows 8	Exactly like Windows XP and 7 and nothing like Windows 8. but with better performance	3
Nokia	Motorola	In brief, Nokia will never win Motorola.	3
PHP	Java	I found the JS and PHP lib easier to work with than the Java ones.	2
baseball	football	There is a gay person - many gay people! - who are faster, better at baseball, better at football, better at golf.	0
MySQL	PostgreSQL	For years, the common industry perception has been that MySQL is faster and easier to use than PostgreSQL.	2
